ID,Movie,Watch Date,Year,Type 1,Type 2,Animation,Origin Country,Friend Who chose it,Did Friend 5 sleep,Duration (minutes),Friend 2 score,Friend 5 score,Friend 7 score,Friend 8 score,Mean score,IMDB score,IMDB-Mean
66,The Tree of Life,24/02/2023,2011,Drama,Experimental,0,USA,7,0,138,5,6,8,1,"5,00","6,8","1,80"
67,Kill Bill: Vol. 1,10/03/2023,2003,Action,Crime,0,USA,8,0,111,10,7,10,10,"9,25","8,2","-1,05"
68,The Road,19/03/2023,2009,Science Fiction,Drama,0,USA,2,1,111,7,7,7,7,"7,00","7,2","0,20"
69,Tainá: An Amazon Adventure,25/03/2023,2000,Adventure,Fantasy,0,Brazil,5,0,90,6,6,7,7,"6,50","5,2","-1,30"
70,The Whale,01/04/2023,2022,Drama,Fiction,0,USA,7,0,117,9,7,9,9,"8,50","7,7","-0,80"
71,Hope,07/04/2023,2013,Drama,Drama,0,South Korea,8,0,122,9,9,9,10,"9,25","8,2","-1,05"
72,The Babadook,16/04/2023,2014,Horror,Mystery,0,Australia,2,0,93,6,5,,5,"5,33","6,8","1,47"
73,Operações Especiais,21/04/2023,2015,Action,Crime,0,Brazil,3,0,99,6,6,6,7,"6,25","6,3","0,05"
74,Call,05/05/2023,2020,Horror,Mystery,0,South Korea,5,0,112,7,7,8,7,"7,25","7,1","-0,15"
75,Shrek,02/06/2023,2001,Comedy,Fantasy,1,USA,7,0,89,10,10,10,10,"10,00","7,9","-2,10"
76,Cocaine Bear,07/06/2023,2023,Horror,Comedy,0,USA,8,0,91,6,5,6,7,"6,00","5,9","-0,10"
77,DnD: Honor Among Thieves,24/06/2023,2023,Action,Fantasy,0,Canada,2,1,134,7,8,7,8,"7,50","7,3","-0,20"
78,Spider-Man: Into the Spider-Verse,03/07/2023,2023,Action,Science Fiction,1,USA,7,1,140,,,10,10,"10,00","8,7","-1,30"
79,The Taking of Deborah Logan,08/07/2023,2014,Horror,Documentary,0,USA,2,0,90,7,6,7,,"6,67",6,"-0,67"
80,Hellraiser,28/07/2023,2022,Horror,Mystery,0,USA,7,0,120,7,7,7,7,"7,00","5,9","-1,10"
81,My Life as a Zucchini,12/08/2023,2016,Family,Comedy,1,France,5,0,66,6,7,9,9,"7,75","7,8","0,05"
82,X,26/08/2023,2022,Horror,Mystery,0,USA,4,0,105,6,5,7,9,"6,75","6,5","-0,25"
83,The Handmaiden,02/09/2023,2016,Thriller,Romance,0,South Korea,7,0,144,6,6,10,10,"8,00","8,1","0,10"
84,Jiu Jitsu,16/09/2023,2020,Action,Science Fiction,0,USA,8,1,102,1,1,,1,"1,00","2,9","1,90"
85,Django Unchained,24/09/2023,2012,Western,Action,0,USA,1,1,165,10,8,10,10,"9,50","8,5","-1,00"
86,Barbie,06/10/2023,2023,Comedy,Fantasy,0,USA,5,0,114,9,9,,10,"9,33",7,"-2,33"
87,Talk to Me,13/10/2023,2022,Horror,Mystery,0,USA,2,0,95,8,,6,,"7,00","7,1","0,10"
88,The Butterfly Effect,24/07/2025,2004,Thriller,Science Fiction,0,USA,,,113,8,8,8,8,"8,00","7,6","-0,40"
89,Burning,31/07/2025,2018,Thriller,Mystery,0,South Korea,,,148,7,,9,9,"8,33","7,4","-0,93"
90,Moonfall,07/08/2025,2022,Science Fiction,Action,0,USA,,,130,,,5,5,"5,00","5,2","0,20"
91,Fractured,04/10/2025,2019,Thriller,Mystery,0,USA,,,99,10,,,,"10,00","6,5","-3,50"
92,Greenland,28/10/2025,2020,Action,Thriller,0,USA,,,120,7,,,,"7,00","6,4","-0,60"
93,Weapons,03/11/2025,2025,Horror,Mystery,0,USA,,,128,8,8,,2,"6,00","7,4","1,40"
94,Evil Dead,05/11/2025,2013,Horror,Fantasy,0,USA,,0,91,8,8,8,,"8,00","6,5","-1,50"
95,Chainsaw Man: Reze Arc,09/12/2025,2025,Animation,Horror,0,Japan,,,100,,,10,10,"10,00","8,3","-1,70"
96,Bugonia,26/12/2025,2025,Comedy,Science Fiction,0,USA,,0,118,7,7,9,10,"8,25","7,4","-0,85"
97,Demon Slayer: Infinite Castle,29/12/2025,2025,Action,Animation,1,Japan,,,155,9,9,,8,"8,67","8,4","-0,27"
98,Sinners,28/01/2026,2025,Horror,Action,0,USA,,,138,10,8,10,10,"9,50","7,5","-2,00"
99,The Secret Agent,07/03/2026,2025,Thriller,Crime,0,Brazil,,1,161,8,6,9,,"7,67","7,2","-0,47"
100,Bring her back,08/03/2026,2025,Terror,,0,Australia,,,104,7,7,,,"7,00","7,1","0,10"
101,One Battle after Another,14/03/2026,2025,Drama,Action,0,USA,,1,161,,7,8,,"7,50","7,6","0,10"
102,Heretic,18/05/2026,2024,Horror,Thriller,0,USA,,0,111,8,7,,10,"8,33",7,"-1,33"
103,Ready or Not: Here I Come,04/07/2026,2026,Horror,Comedy,0,USA,5,0,108,7,7,7,7,"7,00","6,5","-0,50"
